q1_deg,q2_deg,q3_deg
-31.4292,28.7892,-4.9056
-31.5355,28.6917,-4.9654
-31.5354,28.5375,-4.8944
-31.6394,28.4396,-4.9530
-31.7452,28.3469,-5.0169
-31.8487,28.2506,-5.0779
-31.9540,28.1594,-5.1441
-31.9539,28.0035,-5.0744
-32.0570,27.9118,-5.1392
-32.1618,27.8192,-5.2067
-32.1617,27.6672,-5.1400
-32.2643,27.5742,-5.2062
-32.3687,27.4864,-5.2778
-32.3686,27.3322,-5.2113
-32.4708,27.2439,-5.2816
-32.5746,27.1549,-5.3546
-32.5745,27.0046,-5.2911
-32.6762,26.9151,-5.3627
-32.7796,26.8309,-5.4397
-32.7795,26.6783,-5.3766
-32.8808,26.5937,-5.4522
-32.8806,26.4417,-5.3902
-32.9837,26.3593,-5.4702
-32.9836,26.2079,-5.4092
-33.0844,26.1253,-5.4881
-33.0842,25.9744,-5.4282
-33.1868,25.8942,-5.5115
-33.1867,25.7439,-5.4527
-33.2870,25.6635,-5.5348
-33.2869,25.5136,-5.4772
-33.3890,25.4357,-5.5637
-33.3889,25.2864,-5.5071
-33.4887,25.2082,-5.5924
-33.4886,25.0595,-5.5370
-33.4886,24.9136,-5.4829
-33.5902,24.8353,-5.5721
-33.5901,24.6874,-5.5183
-33.6895,24.6117,-5.6074
-33.6894,24.4644,-5.5547
-33.6894,24.3199,-5.5032
-33.7906,24.2442,-5.5963
-33.7904,24.1005,-5.5463
-33.7904,23.9539,-5.4955
-33.8894,23.8812,-5.5889
-33.8893,23.7354,-5.5394
-33.8893,23.5925,-5.4913
-33.9899,23.5198,-5.5887
-33.9898,23.3778,-5.5419
-33.9898,23.2328,-5.4944
-34.0883,23.1631,-5.5921
-34.0882,23.0190,-5.5460
-34.0882,22.8777,-5.5011
-34.0882,22.7338,-5.4557
-34.1884,22.6674,-5.5590
-34.1883,22.5244,-5.5151
-34.1883,22.3842,-5.4723
-34.1883,22.2414,-5.4292
-34.2863,22.1754,-5.5323
-34.2862,22.0335,-5.4906
-34.2862,21.8943,-5.4499
-34.2862,21.7526,-5.4090
-34.2862,21.6140,-5.3695
-34.2862,21.4728,-5.3297
-34.3859,21.4109,-5.4394
-34.3858,21.2707,-5.4010
-34.3858,21.1331,-5.3636
-34.3858,20.9930,-5.3260
-34.3858,20.8559,-5.2896
-34.3858,20.7164,-5.2531
-34.3858,20.5798,-5.2179
-34.4833,20.5168,-5.3283
-34.4832,20.3811,-5.2944
-34.4832,20.2427,-5.2601
-34.4832,20.1073,-5.2270
-34.4832,19.9694,-5.1938
-34.4832,19.8344,-5.1618
-34.4832,19.6970,-5.1297
-34.4832,19.5626,-5.0988
-34.4832,19.4257,-5.0677
-34.4832,19.2918,-5.0379
-34.4832,19.1555,-5.0080
-34.4832,19.0221,-4.9792
-34.4832,18.8863,-4.9504
-34.4832,18.7534,-4.9227
-34.4832,18.6181,-4.8950
-34.4832,18.4857,-4.8684
-34.4832,18.3510,-4.8418
-34.4832,18.2192,-4.8162
-34.4832,18.0850,-4.7907
-34.4832,17.9537,-4.7663
-34.4832,17.8200,-4.7418
-34.4832,17.6893,-4.7185
-34.4832,17.5562,-4.6951
-34.4832,17.4260,-4.6728
-34.4832,17.2934,-4.6506
-34.4832,17.1638,-4.6294
-34.4832,17.0318,-4.6083
-34.3859,16.8226,-4.4419
-34.3858,16.6910,-4.4222
-34.3858,16.5623,-4.4031
-34.3858,16.4313,-4.3842
-34.3858,16.3032,-4.3662
-34.3858,16.1727,-4.3483
-34.3858,16.0452,-4.3314
-34.3858,15.9153,-4.3147
-34.2863,15.7058,-4.1503
-34.2862,15.5764,-4.1350
-34.2862,15.4498,-4.1202
-34.2862,15.3210,-4.1057
-34.2862,15.1949,-4.0920
-34.1884,14.9854,-3.9335
-34.1883,14.8598,-3.9212
-34.1883,14.7320,-3.9088
-34.1883,14.6070,-3.8973
-34.0883,14.3967,-3.7387
-34.0882,14.2721,-3.7285
-34.0882,14.1454,-3.7183
-34.0882,14.0214,-3.7089
-33.9899,13.8135,-3.5560
-33.9898,13.6900,-3.5480
-33.9898,13.5643,-3.5400
-33.9898,13.4414,-3.5328
-33.8894,13.2326,-3.3797
-33.8893,13.1102,-3.3738
-33.8893,12.9856,-3.3680
-33.7906,12.7816,-3.2202
-33.7904,12.6575,-3.2158
-33.7904,12.5361,-3.2118
-33.6895,12.3287,-3.0631
-33.6894,12.2078,-3.0605
-33.5902,12.0025,-2.9163
-33.5901,11.8821,-2.9147
-33.5901,11.7596,-2.9133
-33.4887,11.5558,-2.7686
-33.4886,11.4337,-2.7686
-33.4886,11.3121,-2.7689
-33.3890,11.1106,-2.6291
-33.3889,10.9894,-2.6308
-33.2870,10.7867,-2.4898
-33.2869,10.6661,-2.4926
-33.1868,10.4656,-2.3561
-33.1867,10.3454,-2.3599
-33.0844,10.1439,-2.2223
-33.0842,10.0242,-2.2272
-32.9837,9.8248,-2.0939
-32.9836,9.7057,-2.0999
-32.8808,9.5052,-1.9655
-32.7796,9.3043,-1.8354
-32.7795,9.1882,-1.8429
-32.6762,8.9863,-1.7114
-32.6761,8.8707,-1.7200
-32.5746,8.6710,-1.5928
-32.4708,8.4723,-1.4641
-32.4706,8.3551,-1.4745
-32.3687,8.1586,-1.3499
-32.2643,7.9585,-1.2241
-32.2642,7.8444,-1.2360
-32.1618,7.6466,-1.1143
-32.0570,7.4497,-0.9910
-32.0569,7.3341,-1.0047
-31.9540,7.1394,-0.8854
-31.8487,6.9413,-0.7651
-31.7452,6.7473,-0.6483
-31.7451,6.6327,-0.6642
-31.6394,6.4378,-0.5461
-31.5355,6.2426,-0.4322
-31.4292,6.0484,-0.3166
-31.3248,5.8540,-0.2049
-31.3247,5.7429,-0.2232
-31.2181,5.5474,-0.1103
-31.1132,5.3563,-0.0010
-31.0060,5.1616,0.1095
-30.9006,4.9712,0.2166
-30.7929,4.7774,0.3249
-30.6871,4.5878,0.4299
-30.5790,4.3948,0.5359
-30.4727,4.2060,0.6388
-30.3640,4.0138,0.7427
-30.2573,3.8258,0.8434
-30.1481,3.6344,0.9451
-30.0409,3.4472,1.0437
-29.9313,3.3670,1.1684
-29.8236,3.1782,1.2652
-29.7135,2.9904,1.3635
-29.6054,2.8025,1.4579
-29.4948,2.6156,1.5541
-29.3862,2.5380,1.6737
-29.2751,2.3495,1.7680
-29.1660,2.1652,1.8591
-29.0545,1.9776,1.9510
-28.9449,1.9008,2.0684
-28.8329,1.7160,2.1595
-28.7229,1.5310,2.2464
-28.6104,1.4533,2.3645
-28.4999,1.2711,2.4506
-28.3869,1.0857,2.5371
-28.2759,1.0102,2.6513
-28.1625,0.8275,2.7370
-28.0510,0.6447,2.8185
-27.9371,0.5684,2.9334
-27.8252,0.3883,3.0142
-27.7108,0.3125,3.1281
-27.5984,0.1309,3.2066
-27.4836,-0.0495,3.2866
-27.3707,-0.1231,3.3967
-27.2554,-0.3050,3.4747
-27.1421,-0.3781,3.5837
-27.0262,-0.5573,3.6608
-26.9125,-0.6299,3.7687
-26.7962,-0.8104,3.8435
-26.6819,-0.8825,3.9504
-26.5652,-1.0603,4.0242
-26.4482,-1.1333,4.1322
-26.3332,-1.2047,4.2377
-26.2158,-1.3837,4.3087
-26.1003,-1.4545,4.4130
