    [9.9602, 57.3292, -15.2901, -26.6322],
    [9.9602, 57.4633, -15.4194, -26.6322],
    [9.9602, 57.5936, -15.5453, -26.6322],
    [9.9602, 57.7239, -15.6715, -26.6322],
    [9.9602, 57.8582, -15.8019, -26.6322],
    [9.9602, 57.9887, -15.9287, -26.6322],
    [9.9602, 58.1193, -16.0559, -26.6322],
    [9.9602, 58.2540, -16.1872, -26.6322],
    [9.9602, 58.3847, -16.3150, -26.6322],
    [9.9602, 58.5156, -16.4431, -26.6322],
    [9.9602, 58.6505, -16.5754, -26.6322],
    [9.9602, 58.7815, -16.7042, -26.6322],
    [9.9602, 58.9126, -16.8332, -26.6322],
    [9.9602, 59.0478, -16.9665, -26.6322],
    [9.9602, 59.1791, -17.0963, -26.6322],
    [9.9602, 59.3105, -17.2263, -26.6322],
    [9.9602, 59.4460, -17.3607, -26.6322],
    [9.9602, 59.5776, -17.4914, -26.6322],
    [9.9602, 59.7092, -17.6224, -26.6322],
    [9.9602, 59.8450, -17.7578, -26.6322],
    [9.9602, 59.9769, -17.8895, -26.6322],
    [9.9602, 60.1089, -18.0216, -26.6322],
    [9.9602, 60.2449, -18.1580, -26.6322],
    [9.9602, 60.3771, -18.2907, -26.6322],
    [9.9602, 60.5094, -18.4238, -26.6322],
    [9.9602, 60.6458, -18.5612, -26.6322],
    [9.9602, 60.7783, -18.6950, -26.6322],
    [9.9602, 60.9109, -18.8291, -26.6322],
    [9.9602, 61.0476, -18.9676, -26.6322],
    [9.9602, 61.1804, -19.1024, -26.6322],
    [9.9602, 61.3133, -19.2376, -26.6322],
    [9.9602, 61.4503, -19.3772, -26.6322],
    [9.8685, 61.5760, -19.4878, -26.6322],
    [9.7767, 61.5687, -19.4630, -26.6322],
    [9.6821, 61.5613, -19.4375, -26.6322],
    [9.5902, 61.5541, -19.4131, -26.6322],
    [9.4982, 61.5470, -19.3889, -26.6322],
    [9.4035, 61.5397, -19.3642, -26.6322],
    [9.3114, 61.5328, -19.3405, -26.6322],
    [9.2193, 61.5259, -19.3170, -26.6322],
    [9.1244, 61.5189, -19.2930, -26.6322],
    [9.0322, 61.5121, -19.2701, -26.6322],
    [8.9400, 61.5055, -19.2473, -26.6322],
    [8.8449, 61.4987, -19.2241, -26.6322],
    [8.7526, 61.4922, -19.2019, -26.6322],
    [8.6602, 61.4858, -19.1798, -26.6322],
    [8.5650, 61.4792, -19.1574, -26.6322],
    [8.4725, 61.4729, -19.1359, -26.6322],
    [8.3800, 61.4667, -19.1146, -26.6322],
    [8.2847, 61.4604, -19.0929, -26.6322],
    [8.1921, 61.4544, -19.0721, -26.6322],
    [8.0994, 61.4484, -19.0515, -26.6322],
    [8.0039, 61.4423, -19.0306, -26.6322],
    [7.9112, 61.4365, -19.0105, -26.6322],
    [7.8185, 61.4307, -18.9906, -26.6322],
    [7.7228, 61.4248, -18.9704, -26.6322],
    [7.6300, 61.4192, -18.9511, -26.6322],
    [7.5371, 61.4137, -18.9320, -26.6322],
    [7.4413, 61.4080, -18.9125, -26.6322],
    [7.3484, 61.4026, -18.8939, -26.6322],
    [7.2554, 61.3973, -18.8755, -26.6322],
    [7.1595, 61.3919, -18.8568, -26.6322],
    [7.0664, 61.3867, -18.8389, -26.6322],
    [6.9733, 61.3816, -18.8212, -26.6322],
    [6.8773, 61.3764, -18.8033, -26.6322],
    [6.7841, 61.3715, -18.7861, -26.6322],
    [6.6908, 61.3666, -18.7691, -26.6322],
    [6.5947, 61.3616, -18.7519, -26.6322],
    [6.5014, 61.3569, -18.7355, -26.6322],
    [6.4081, 61.3522, -18.7192, -26.6322],
    [6.3119, 61.3474, -18.7028, -26.6322],
    [6.2185, 61.3429, -18.6870, -26.6322],
    [6.1250, 61.3384, -18.6715, -26.6322],
    [6.0287, 61.3339, -18.6558, -26.6322],
    [5.9352, 61.3296, -18.6408, -26.6322],
    [5.8417, 61.3253, -18.6260, -26.6322],
    [5.7453, 61.3210, -18.6110, -26.6322],
    [5.6516, 61.3169, -18.5967, -26.6322],
    [5.5580, 61.3129, -18.5827, -26.6322],
    [5.4615, 61.3088, -18.5684, -26.6322],
    [5.3678, 61.3049, -18.5548, -26.6322],
    [5.2741, 61.3011, -18.5415, -26.6322],
    [5.1775, 61.2972, -18.5280, -26.6322],
    [5.0837, 61.2935, -18.5151, -26.6322],
    [4.9899, 61.2899, -18.5025, -26.6322],
    [4.8932, 61.2863, -18.4898, -26.6322],
    [4.7994, 61.2828, -18.4776, -26.6322],
    [4.7055, 61.2794, -18.4657, -26.6322],
    [4.6087, 61.2759, -18.4537, -26.6322],
    [4.5148, 61.2727, -18.4423, -26.6322],
    [4.4208, 61.2695, -18.4311, -26.6322],
    [4.3240, 61.2663, -18.4198, -26.6322],
    [4.2299, 61.2632, -18.4091, -26.6322],
    [4.1359, 61.2602, -18.3986, -26.6322],
    [4.0390, 61.2572, -18.3881, -26.6322],
    [3.9449, 61.2544, -18.3781, -26.6322],
    [3.8508, 61.2516, -18.3684, -26.6322],
    [3.7538, 61.2488, -18.3586, -26.6322],
    [3.6597, 61.2461, -18.3493, -26.6322],
    [3.5655, 61.2436, -18.3403, -26.6322],
    [3.4685, 61.2410, -18.3312, -26.6322],
    [3.3743, 61.2385, -18.3227, -26.6322],
    [3.2801, 61.2362, -18.3143, -26.6322],
    [3.1830, 61.2338, -18.3060, -26.6322],
    [3.0887, 61.2316, -18.2982, -26.6322],
    [2.9945, 61.2294, -18.2906, -26.6322],
    [2.8973, 61.2272, -18.2830, -26.6322],
    [2.8030, 61.2252, -18.2759, -26.6322],
    [2.7087, 61.2233, -18.2690, -26.6322],
    [2.6115, 61.2213, -18.2621, -26.6322],
    [2.5172, 61.2195, -18.2557, -26.6322],
    [2.4228, 61.2177, -18.2496, -26.6322],
    [2.3256, 61.2160, -18.2434, -26.6322],
    [2.2312, 61.2144, -18.2378, -26.6322],
    [2.1368, 61.2128, -18.2323, -26.6322],
    [2.0395, 61.2113, -18.2269, -26.6322],
    [1.9451, 61.2099, -18.2220, -26.6322],
    [1.8506, 61.2085, -18.2172, -26.6322],
    [1.7533, 61.2072, -18.2126, -26.6322],
    [1.6589, 61.2060, -18.2083, -26.6322],
    [1.5644, 61.2049, -18.2043, -26.6322],
    [1.4671, 61.2038, -18.2004, -26.6322],
    [1.3726, 61.2028, -18.1969, -26.6322],
    [1.2781, 61.2018, -18.1936, -26.6322],
    [1.1807, 61.2009, -18.1904, -26.6322],
    [1.0862, 61.2001, -18.1876, -26.6322],
    [0.9917, 61.1994, -18.1850, -26.6322],
    [0.8944, 61.1987, -18.1826, -26.6322],
    [0.7998, 61.1981, -18.1804, -26.6322],
    [0.7053, 61.1976, -18.1786, -26.6322],
    [0.6079, 61.1971, -18.1769, -26.6322],
    [0.5134, 61.1967, -18.1755, -26.6322],
    [0.4189, 61.1964, -18.1743, -26.6322],
    [0.3215, 61.1961, -18.1734, -26.6322],
    [0.2269, 61.1959, -18.1727, -26.6322],
    [0.1324, 61.1958, -18.1722, -26.6322],
    [0.0350, 61.1957, -18.1720, -26.6322],
    [-0.0595, 61.1957, -18.1720, -26.6322],
    [-0.1541, 61.1958, -18.1723, -26.6322],
    [-0.2515, 61.1959, -18.1728, -26.6322],
    [-0.3460, 61.1962, -18.1736, -26.6322],
    [-0.4406, 61.1964, -18.1746, -26.6322],
    [-0.5380, 61.1968, -18.1758, -26.6322],
    [-0.6325, 61.1972, -18.1773, -26.6322],
    [-0.7270, 61.1977, -18.1790, -26.6322],
    [-0.8244, 61.1983, -18.1810, -26.6322],
    [-0.9189, 61.1989, -18.1831, -26.6322],
    [-1.0134, 61.1996, -18.1856, -26.6322],
    [-1.1108, 61.2003, -18.1883, -26.6322],
    [-1.2053, 61.2012, -18.1912, -26.6322],
    [-1.2998, 61.2020, -18.1943, -26.6322],
    [-1.3971, 61.2030, -18.1978, -26.6322],
    [-1.4916, 61.2040, -18.2014, -26.6322],
    [-1.5861, 61.2051, -18.2052, -26.6322],
    [-1.6834, 61.2063, -18.2094, -26.6322],
    [-1.7779, 61.2076, -18.2137, -26.6322],
    [-1.8723, 61.2089, -18.2183, -26.6322],
    [-1.9696, 61.2103, -18.2232, -26.6322],
    [-2.0640, 61.2117, -18.2283, -26.6322],
    [-2.1584, 61.2132, -18.2335, -26.6322],
    [-2.2557, 61.2148, -18.2392, -26.6322],
    [-2.3501, 61.2164, -18.2450, -26.6322],
    [-2.4444, 61.2181, -18.2510, -26.6322],
    [-2.5417, 61.2200, -18.2574, -26.6322],
    [-2.6360, 61.2218, -18.2638, -26.6322],
    [-2.7303, 61.2237, -18.2705, -26.6322],
    [-2.8275, 61.2257, -18.2777, -26.6322],
    [-2.9218, 61.2278, -18.2849, -26.6322],
    [-3.0161, 61.2299, -18.2923, -26.6322],
    [-3.1132, 61.2321, -18.3002, -26.6322],
    [-3.2075, 61.2344, -18.3081, -26.6322],
    [-3.3017, 61.2367, -18.3162, -26.6322],
    [-3.3988, 61.2392, -18.3248, -26.6322],
    [-3.4930, 61.2416, -18.3335, -26.6322],
    [-3.5871, 61.2441, -18.3423, -26.6322],
    [-3.6842, 61.2468, -18.3517, -26.6322],
    [-3.7783, 61.2495, -18.3610, -26.6322],
    [-3.8724, 61.2522, -18.3706, -26.6322],
    [-3.9694, 61.2551, -18.3807, -26.6322],
    [-4.0634, 61.2580, -18.3907, -26.6322],
    [-4.1575, 61.2609, -18.4010, -26.6322],
    [-4.2544, 61.2640, -18.4119, -26.6322],
    [-4.3484, 61.2671, -18.4226, -26.6322],
    [-4.4424, 61.2702, -18.4336, -26.6322],
    [-4.5392, 61.2735, -18.4452, -26.6322],
    [-4.6331, 61.2768, -18.4567, -26.6322],
    [-4.7270, 61.2802, -18.4684, -26.6322],
    [-4.8237, 61.2837, -18.4807, -26.6322],
    [-4.9176, 61.2872, -18.4930, -26.6322],
    [-5.0114, 61.2907, -18.5054, -26.6322],
    [-5.1081, 61.2945, -18.5185, -26.6322],
    [-5.2018, 61.2982, -18.5314, -26.6322],
    [-5.2956, 61.3020, -18.5445, -26.6322],
    [-5.3921, 61.3059, -18.5583, -26.6322],
    [-5.4858, 61.3098, -18.5720, -26.6322],
