q1_deg,q2_deg,q3_deg,q4_deg
12.7119,-9.8330,16.6135,-85.7540
12.7119,-9.7345,16.6289,-85.7271
12.7119,-9.7343,16.6288,-85.7481
12.8194,-9.6085,16.6053,-85.7143
12.8194,-9.6083,16.6050,-85.6906
12.8194,-9.5092,16.6197,-85.6638
12.8194,-9.5091,16.6196,-85.6850
12.9247,-9.3832,16.5959,-85.6508
12.9247,-9.3830,16.5956,-85.6280
12.9247,-9.2835,16.6096,-85.6007
12.9247,-9.2833,16.6095,-85.6222
13.0320,-9.1543,16.5843,-85.5871
13.0320,-9.1540,16.5840,-85.5636
13.0320,-9.0560,16.5971,-85.5369
13.0320,-9.0559,16.5970,-85.5582
13.0320,-8.9556,16.6100,-85.5200
13.0320,-8.9554,16.6099,-85.5445
13.1371,-8.8281,16.5839,-85.5088
13.1371,-8.8279,16.5836,-85.4858
13.1371,-8.7271,16.5960,-85.4581
13.1371,-8.7270,16.5959,-85.4803
13.1371,-8.6279,16.6077,-85.4420
13.1371,-8.6278,16.6075,-85.4665
13.2443,-8.4970,16.5798,-85.4299
13.2442,-8.4968,16.5794,-85.4062
13.2442,-8.3973,16.5906,-85.3791
13.2442,-8.3972,16.5905,-85.4010
13.2442,-8.2954,16.6016,-85.3617
13.2442,-8.2953,16.6014,-85.3871
13.3492,-8.1663,16.5728,-85.3505
13.3492,-8.1661,16.5725,-85.3272
13.3492,-8.0639,16.5830,-85.2990
13.3492,-8.0637,16.5828,-85.3219
13.3492,-7.9633,16.5927,-85.2825
13.3492,-7.9631,16.5925,-85.3080
13.4561,-7.8307,16.5621,-85.2703
13.4561,-7.8305,16.5618,-85.2463
13.4561,-7.7296,16.5710,-85.2188
13.4561,-7.7295,16.5709,-85.2415
13.4561,-7.6263,16.5800,-85.2010
13.4561,-7.6261,16.5798,-85.2274
13.5609,-7.4955,16.5487,-85.1898
13.5608,-7.4953,16.5483,-85.1661
13.5608,-7.3917,16.5568,-85.1376
13.5608,-7.3915,16.5566,-85.1611
13.5608,-7.2896,16.5646,-85.1206
13.5608,-7.2895,16.5644,-85.1471
13.5608,-7.1854,16.5722,-85.1050
13.5608,-7.1852,16.5720,-85.1323
13.6676,-7.0530,16.5385,-85.0941
13.6676,-7.0529,16.5381,-85.0691
13.6676,-6.9482,16.5453,-85.0407
13.6676,-6.9481,16.5451,-85.0645
13.6676,-6.8453,16.5518,-85.0234
13.6676,-6.8452,16.5516,-85.0505
13.6676,-6.7401,16.5580,-85.0077
13.6676,-6.7399,16.5579,-85.0356
13.7722,-6.6074,16.5235,-84.9967
13.7721,-6.6072,16.5232,-84.9724
13.7721,-6.5016,16.5290,-84.9437
13.7721,-6.5015,16.5288,-84.9680
