    [6.9602, 25.4617, 9.1057, -0.3602],
    [7.1014, 25.4723, 9.0803, -0.3602],
    [7.1013, 25.4724, 9.0800, -0.3602],
    [7.2452, 25.4833, 9.0535, -0.3602],
    [7.2451, 25.4835, 9.0533, -0.3602],
    [7.3861, 25.6809, 8.9266, -0.3602],
    [7.3861, 25.6810, 8.9261, -0.3602],
    [7.5297, 25.6923, 8.8986, -0.3602],
    [7.5297, 25.6925, 8.8983, -0.3602],
    [7.6705, 25.7038, 8.8708, -0.3602],
    [7.6704, 25.7039, 8.8705, -0.3602],
    [7.8139, 25.8985, 8.7433, -0.3602],
    [7.8139, 25.8986, 8.7428, -0.3602],
    [7.9545, 25.9104, 8.7142, -0.3602],
    [7.9544, 25.9105, 8.7139, -0.3602],
    [8.0977, 26.1091, 8.5831, -0.3602],
    [8.0977, 26.1092, 8.5826, -0.3602],
    [8.2381, 26.1214, 8.5530, -0.3602],
    [8.2380, 26.1215, 8.5528, -0.3602],
    [8.3811, 26.3169, 8.4224, -0.3602],
    [8.3811, 26.3170, 8.4219, -0.3602],
    [8.5213, 26.3296, 8.3912, -0.3602],
    [8.5212, 26.3297, 8.3910, -0.3602],
    [8.6641, 26.5291, 8.2571, -0.3602],
    [8.6641, 26.5292, 8.2566, -0.3602],
    [8.8041, 26.7249, 8.1243, -0.3602],
    [8.8040, 26.7251, 8.1238, -0.3602],
    [8.9467, 26.7385, 8.0910, -0.3602],
    [8.9466, 26.7386, 8.0907, -0.3602],
    [9.0864, 26.9383, 7.9549, -0.3602],
    [9.0864, 26.9384, 7.9544, -0.3602],
    [9.2288, 26.9522, 7.9205, -0.3602],
    [9.2288, 26.9523, 7.9202, -0.3602],
    [9.3683, 27.1488, 7.7849, -0.3602],
    [9.3683, 27.1489, 7.7844, -0.3602],
    [9.5105, 27.1631, 7.7494, -0.3602],
    [9.5104, 27.1632, 7.7492, -0.3602],
    [9.6498, 27.3637, 7.6103, -0.3602],
    [9.6497, 27.3638, 7.6098, -0.3602],
    [9.7917, 27.5612, 7.4713, -0.3602],
    [9.7916, 27.5613, 7.4708, -0.3602],
    [9.9307, 27.5758, 7.4349, -0.3602],
    [9.9307, 27.5759, 7.4347, -0.3602],
    [10.0724, 27.7772, 7.2926, -0.3602],
    [10.0724, 27.7773, 7.2920, -0.3602],
    [10.2112, 27.9750, 7.1517, -0.3602],
    [10.2112, 27.9751, 7.1512, -0.3602],
    [10.3527, 27.9904, 7.1131, -0.3602],
    [10.3526, 27.9905, 7.1128, -0.3602],
    [10.4912, 28.1921, 6.9689, -0.3602],
    [10.4912, 28.1922, 6.9683, -0.3602],
    [10.6324, 28.3907, 6.8247, -0.3602],
    [10.6324, 28.3908, 6.8242, -0.3602],
    [10.7707, 28.4064, 6.7853, -0.3602],
    [10.7707, 28.4065, 6.7850, -0.3602],
    [10.9117, 28.6090, 6.6378, -0.3602],
    [10.9116, 28.6091, 6.6373, -0.3602],
    [11.0497, 28.8078, 6.4919, -0.3602],
    [11.0497, 28.8079, 6.4914, -0.3602],
    [11.1904, 29.0108, 6.3421, -0.3602],
    [11.1903, 29.0109, 6.3415, -0.3602],
    [11.3282, 29.0272, 6.3006, -0.3602],
    [11.3281, 29.0273, 6.3003, -0.3602],
    [11.4686, 29.2269, 6.1516, -0.3602],
    [11.4685, 29.2270, 6.1511, -0.3602],
    [11.6061, 29.4301, 6.0000, -0.3602],
    [11.6060, 29.4302, 5.9995, -0.3602],
    [11.7462, 29.6301, 5.8488, -0.3602],
    [11.7461, 29.6302, 5.8483, -0.3602],
    [11.8834, 29.8337, 5.6952, -0.3602],
