[q1_deg,q2_deg,q3_deg,q4_deg],
[-3.6134,28.3899,7.8263,93.1163],
[-3.7561,28.5797,7.7063,93.1163],
[-3.7561,28.7682,7.5965,93.1163],
[-3.7561,28.9567,7.4865,93.1163],
[-3.9016,29.1470,7.3642,93.1163],
[-3.9015,29.3357,7.2529,93.1163],
[-4.0441,29.5261,7.1293,93.1163],
[-4.0441,29.7149,7.0170,93.1163],
[-4.0441,29.9000,6.9066,93.1163],
[-4.1895,30.0945,6.7786,93.1163],
[-4.1894,30.2798,6.6670,93.1163],
[-4.3319,30.4744,6.5377,93.1163],
[-4.3319,30.6598,6.4251,93.1163],
[-4.4772,30.8549,6.2940,93.1163],
[-4.4771,31.0403,6.1804,93.1163],
[-4.6195,31.2355,6.0481,93.1163],
[-4.6195,31.4211,5.9335,93.1163],
[-4.7646,31.6167,5.7993,93.1163],
[-4.9068,31.8087,5.6664,93.1163],
[-4.9068,31.9981,5.5480,93.1163],
[-5.0518,32.1905,5.4136,93.1163],
[-5.0518,32.3800,5.2942,93.1163],
[-5.1939,32.5724,5.1586,93.1163],
[-5.3388,32.7690,5.0190,93.1163],
[-5.3388,32.9549,4.9004,93.1163],
[-5.4808,33.1516,4.7599,93.1163],
[-5.6255,33.3449,4.6202,93.1163],
[-5.6255,33.5346,4.4977,93.1163],
[-5.7674,33.7280,4.3570,93.1163],
[-5.9119,33.9255,4.2123,93.1163],
[-6.0536,34.1193,4.0694,93.1163],
[-6.0536,34.3092,3.9449,93.1163],
[-6.1981,34.5033,3.8003,93.1163],
[-6.3396,34.7013,3.6523,93.1163],
[-6.4839,34.8959,3.5054,93.1163],
[-6.4838,35.0860,3.3789,93.1163],
[-6.6253,35.2806,3.2311,93.1163],
[-6.7694,35.4794,3.0791,93.1163],
[-6.9106,35.6745,2.9291,93.1163],
[-7.0545,35.8736,2.7750,93.1163],
[-7.1956,36.0691,2.6229,93.1163],
[-7.3393,36.2686,2.4668,93.1163],
[-7.4802,36.4645,2.3126,93.1163],
[-7.6238,36.6644,2.1544,93.1163],
[-7.6237,36.8511,2.0258,93.1163],
[-7.7644,37.0510,1.8668,93.1163],
[-7.9078,37.0610,1.8377,93.1163],
[-8.0483,37.2576,1.6797,93.1163],
[-8.1915,37.4584,1.5173,93.1163],
[-8.3318,37.6553,1.3570,93.1163],
[-8.4748,37.8565,1.1925,93.1163],
[-8.6149,38.0538,1.0301,93.1163],
[-8.7576,38.2553,0.8635,93.1163],
[-8.8975,38.4531,0.6991,93.1163],
[-9.0400,38.6550,0.5304,93.1163],
[-9.1797,38.6663,0.4971,93.1163],
[-9.3220,38.8648,0.3297,93.1163],
[-9.4614,39.0670,0.1591,93.1163],
[-9.6035,39.2659,-0.0107,93.1163],
[-9.7427,39.4685,-0.1835,93.1163],
[-9.8846,39.4808,-0.2201,93.1163],
[-10.0236,39.6800,-0.3915,93.1163],
[-10.1652,39.8834,-0.5676,93.1163],
[-10.3039,39.8960,-0.6050,93.1163],
[-10.4453,40.0960,-0.7798,93.1163],
[-10.5837,40.2996,-0.9578,93.1163],
[-10.7248,40.3130,-0.9976,93.1163],
[-10.8631,40.5133,-1.1742,93.1163],
[-11.0039,40.7177,-1.3557,93.1163],
[-11.1419,40.7313,-1.3962,93.1163],
[-11.2825,40.9324,-1.5763,93.1163],
[-11.4201,40.9463,-1.6179,93.1163],
[-11.5604,41.1515,-1.8023,93.1163],
[-11.6979,41.3529,-1.9845,93.1163],
[-11.8379,41.3676,-2.0285,93.1163],
[-11.9750,41.5731,-2.2147,93.1163],
[-12.1148,41.5881,-2.2598,93.1163],
[-12.2516,41.7902,-2.4449,93.1163],
[-12.3911,41.8056,-2.4910,93.1163],
[-12.5277,42.0118,-2.6805,93.1163],
[-12.6668,42.0276,-2.7277,93.1163],
[-12.8031,42.2304,-2.9160,93.1163],
[-12.9420,42.2465,-2.9643,93.1163],
[-13.0779,42.4534,-3.1569,93.1163],
[-13.2165,42.4699,-3.2063,93.1163],
[-13.3522,42.4862,-3.2550,93.1163],
[-13.4904,42.6902,-3.4479,93.1163],
[-13.6258,42.7069,-3.4979,93.1163],
[-13.7637,42.7241,-3.5492,93.1163],
[-13.8987,42.9320,-3.7462,93.1163],
